source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dorothea_level
P08046	P41969	Egr1	Elk1	True	True	False	False	False	False	A
P41969	P08046	Elk1	Egr1	True	True	False	True	True	False	A
P41158	P08046	Elk4	Egr1	True	True	False	True	True	False	C
P53566	P07724	Cebpa	Alb	True	True	False	True	True	False	A
P15314	Q4VK74	Irf1	Ifnl2	True	True	False	True	True	False	C
P15314	Q8CGK6	Irf1	Ifnl3	True	True	False	True	True	False	C
P70671	Q4VK74	Irf3	Ifnl2	True	True	False	True	True	False	C
P70671	Q8CGK6	Irf3	Ifnl3	True	True	False	True	True	False	C
Q01147	P25322	Creb1	Ccnd1	True	True	False	True	True	False	A
A0A087WSP5	P01580	A0A087WSP5	Ifng	True	True	True	True	True	False	A
P05627	P08505	Jun	Il6	True	True	False	True	True	False	A
Q61221	P07321	Hif1a	Epo	True	True	False	True	True	False	A
P01108	P48964	Myc	Cdc25a	True	True	False	True	True	False	A
Q9JJP2	P02340	Tp73	Tp53	True	True	False	True	True	False	C
P53762	P07321	Arnt	Epo	True	True	False	True	True	False	A
Q9JJP2	P23804	Tp73	Mdm2	True	True	False	True	True	False	A
P02340	Q9JJP2	Tp53	Tp73	True	True	False	False	False	False	A
Q9JJP2	P39689	Tp73	Cdkn1a	True	True	False	True	True	False	A
Q8R0K9	Q61501	E2f4	E2f1	True	False	True	True	False	True	A
P01101	P07903	Fos	Ercc1	True	True	False	True	True	False	A
A0A979HLR9	P39689	A0A979HLR9	Cdkn1a	True	True	True	True	True	False	A
P15037	P04401	Ets2	Il5	True	True	False	True	True	False	A
P23772	P04401	Gata3	Il5	True	True	False	True	True	False	A
P27577	P04401	Ets1	Il5	True	True	False	True	True	False	A
A0A979HLR9	P04202	A0A979HLR9	Tgfb1	True	True	False	True	True	False	A
P05627	P97926	Jun	Oxtr	True	True	False	True	True	False	A
A4QPD3	P01590	A4QPD3	Il2ra	True	True	False	True	True	False	A
A0A979HLR9	P35951	A0A979HLR9	Ldlr	True	True	False	True	True	False	A
Q00899	P35951	Yy1	Ldlr	True	False	True	True	False	True	A
P53566	Q9Z2V4	Cebpa	Pck1	True	True	False	True	True	False	A
F6Y2T6	P39689	F6Y2T6	Cdkn1a	True	True	False	True	True	False	A
Q00899	A0A0R4J0N8	Yy1	A0A0R4J0N8	True	False	True	True	False	True	A
P01108	A0A0R4J0N8	Myc	A0A0R4J0N8	True	True	False	True	True	False	A
Q61069	A0A0R4J0N8	Usf1	A0A0R4J0N8	True	True	False	True	True	False	A
P33242	G3X9G6	Nr5a1	G3X9G6	True	True	True	True	True	False	A
P16951	P06804	Atf2	Tnf	True	True	False	True	True	False	A
P05627	P06804	Jun	Tnf	True	True	False	True	True	False	A
P27782	P25322	Lef1	Ccnd1	True	True	False	True	True	False	A
P28033	P51557	Cebpb	Star	True	True	False	True	True	False	A
P33242	P51557	Nr5a1	Star	True	True	True	True	True	False	A
Q9JM73	P01101	Srf	Fos	True	True	False	True	True	False	A
P01108	P39689	Myc	Cdkn1a	True	True	True	True	False	True	A
P05627	P04351	Jun	Il2	True	True	True	True	True	False	A
Q04887	D6RFS9	Sox9	D6RFS9	True	True	False	True	True	False	A
Q04887	Q61865	Sox9	Mia	True	True	False	True	True	False	A
P15314	Q80SU4	Irf1	Ifna13	True	True	False	True	True	False	A;D
P15314	B1AYH7	Irf1	B1AYH7	True	True	False	True	True	False	A;D
P15314	P09235	Irf1	Ifna9	True	True	False	True	True	False	A;D
P15314	Q810G2	Irf1	Q810G2	True	True	False	True	True	False	A;D
P15314	P01572	Irf1	Ifna1	True	True	False	True	True	False	A;D
P15314	Q61718	Irf1	Q61718	True	True	False	True	True	False	A;D
P15314	L7MTU6	Irf1	L7MTU6	True	True	False	True	True	False	A;D
P15314	Q810G3	Irf1	Q810G3	True	True	False	True	True	False	A;D
P15314	Q61716	Irf1	Ifna11	True	True	False	True	True	False	A;D
P15314	Q80SS5	Irf1	Ifna12	True	True	False	True	True	False	A;D
P15314	Q810G5	Irf1	Q810G5	True	True	False	True	True	False	A;D
P15314	P07351	Irf1	Ifna4	True	True	False	True	True	False	A;D
P15314	Q1WWN2	Irf1	Q1WWN2	True	True	False	True	True	False	A;D
P15314	Q810G6	Irf1	Q810G6	True	True	False	True	True	False	A;D
P15314	P23906	Irf1	Irf2	True	True	False	True	True	False	A
P02340	Q9JLJ0	Tp53	Litaf	True	True	False	True	True	False	A
P02340	Q04211	Tp53	Btg2	True	True	False	True	True	False	A
O70494	P39689	Sp3	Cdkn1a	True	True	True	True	True	False	A
P02340	P17918	Tp53	Pcna	True	True	False	True	True	False	A
A0A087WSP5	P01575	A0A087WSP5	Ifnb1	True	False	True	True	False	True	A
P16951	P05627	Atf2	Jun	True	True	False	True	True	False	A
P08046	A0A0R4J088	Egr1	A0A0R4J088	True	True	False	True	True	False	A
Q9JM73	P08046	Srf	Egr1	True	True	False	True	True	False	A
P49698	A0A0R4J0X5	Hnf4a	A0A0R4J0X5	True	True	False	True	True	False	A
P49698	P07758	Hnf4a	Serpina1a	True	True	False	True	True	False	A
P49698	Q00897	Hnf4a	Serpina1d	True	True	False	True	True	False	A
P49698	P22599	Hnf4a	Serpina1b	True	True	False	True	True	False	A
P49698	Q00898	Hnf4a	Serpina1e	True	True	False	True	True	False	A
P05627	P01587	Jun	Csf2	True	True	False	True	True	False	A
Q60591	P01587	Nfatc2	Csf2	True	True	False	True	True	False	A
Q60929	P05627	Mef2a	Jun	True	True	False	True	True	False	A
Q08775	P33435	Runx2	Mmp13	True	True	False	True	True	False	A
P62960	P33435	Ybx1	Mmp13	True	False	True	True	False	True	A
P52946	P01325	Pdx1	Ins1	True	True	False	True	True	False	A
P52946	P01326	Pdx1	Ins2	True	True	False	True	True	False	A
P48377	P17918	Rfx1	Pcna	True	False	True	True	False	True	A
Q61501	P00375	E2f1	Dhfr	True	True	False	True	True	False	A
F6Y2T6	Q80YQ1	F6Y2T6	Q80YQ1	True	True	True	True	True	False	A
A0A979HLR9	P47879	A0A979HLR9	Igfbp4	True	True	False	True	True	False	A
P01108	P02340	Myc	Tp53	True	True	False	True	True	False	A
P02340	P01108	Tp53	Myc	True	False	True	False	False	False	A
P25799	P02340	Nfkb1	Tp53	True	True	False	True	True	False	A
P02340	Q04207	Tp53	Rela	True	True	False	False	False	False	A
Q04207	P02340	Rela	Tp53	True	True	False	True	True	False	A
Q9R1E0	P47876	Foxo1	Igfbp1	True	True	True	True	True	False	A
P42230	P10598	Stat5a	Csn2	True	True	False	True	True	False	A
P17433	A0A1W2P8G5	Spi1	A0A1W2P8G5	True	True	False	True	True	False	B
Q3U5D9	P00184	Q3U5D9	Cyp1a1	True	True	True	True	True	False	A
A0A0A6YWQ4	Q64505	A0A0A6YWQ4	Cyp7a1	True	False	True	True	False	True	C
A0A087WSP5	O35718	A0A087WSP5	Socs3	True	True	False	True	True	False	A
A0A0R4J1Z4	P04401	A0A0R4J1Z4	Il5	True	True	False	True	True	False	A
Q00899	P04401	Yy1	Il5	True	True	False	True	True	False	A
P11416	P06869	Rara	Plau	True	True	False	True	True	False	A
A0A979HLR9	P06869	A0A979HLR9	Plau	True	True	False	True	True	False	A
P27782	Q3UN27	Lef1	Q3UN27	True	True	False	True	True	False	A
P17433	P35991	Spi1	Btk	True	True	False	True	True	False	A
A0A979HLR9	P35991	A0A979HLR9	Btk	True	True	False	True	True	False	A
O70494	P35991	Sp3	Btk	True	True	False	True	True	False	A
A0A979HLR9	O70494	A0A979HLR9	Sp3	True	True	False	True	True	False	A
P08046	P20033	Egr1	Pdgfa	True	True	False	True	True	False	A
P05627	P21447	Jun	Abcb1a	True	True	True	True	False	True	A
Q04207	P27548	Rela	Cd40lg	True	True	False	True	True	False	A
P53566	A0A979HLR9	Cebpa	A0A979HLR9	True	False	False	False	False	False	A
A0A979HLR9	P00860	A0A979HLR9	Odc1	True	True	False	True	True	False	A
P01108	P48754	Myc	Brca1	True	True	False	True	True	False	A
P33242	P28649	Nr5a1	Cyp19a1	True	True	True	True	True	False	A
P19785	Q8CBD1	Esr1	Nrip1	True	True	False	True	True	False	C
P01108	P00860	Myc	Odc1	True	True	False	True	True	False	A
P01108	P26350	Myc	Ptma	True	True	False	True	True	False	A
P03966	Q62433	Mycn	Ndrg1	True	True	True	True	False	True	A
P01108	Q62433	Myc	Ndrg1	True	False	True	True	False	True	A
O88898	P39689	Tp63	Cdkn1a	True	True	False	True	True	False	A
A0A979HLR9	Q9QZ82	A0A979HLR9	Cyp11a1	True	True	False	True	True	False	A
A0A0U1RNL9	P01108	A0A0U1RNL9	Myc	True	True	False	True	True	False	A
Q00286	P06880	Pou1f1	Gh1	True	True	False	True	True	False	A
P08046	P81269	Egr1	Atf1	True	False	False	False	False	False	C
P81269	P08046	Atf1	Egr1	True	True	False	True	True	False	C
P08046	Q01147	Egr1	Creb1	True	False	False	False	False	False	C
Q01147	P08046	Creb1	Egr1	True	True	False	True	True	False	A
P08046	P21447	Egr1	Abcb1a	True	True	False	True	True	False	A
F6Y2T6	P21447	F6Y2T6	Abcb1a	True	True	False	True	True	False	A
A0A087WSP5	P27512	A0A087WSP5	Cd40	True	True	False	True	True	False	A
O54915	Q64459	Nr1i2	Cyp3a11	True	True	False	True	True	False	A
O54915	Q9JMA7	Nr1i2	Cyp3a41a; Cyp3a41b	True	True	False	True	True	False	A
O54915	Q64464	Nr1i2	Cyp3a13	True	True	False	True	True	False	A
F6Y2T6	P10417	F6Y2T6	Bcl2	True	True	False	True	True	False	A
P01101	Q06890	Fos	Clu	True	False	True	True	False	True	A
P48755	Q06890	Fosl1	Clu	True	True	False	True	True	False	A
P09450	Q06890	Junb	Clu	True	True	False	True	True	False	A
Q01147	P24529	Creb1	Th	True	True	False	True	True	False	A
O08537	P35454	Esr2	Oxt	True	True	False	True	True	False	A
A0A979HLR9	P21447	A0A979HLR9	Abcb1a	True	True	False	True	True	False	A
P05627	P17433	Jun	Spi1	True	True	False	True	True	False	A
P97471	P39689	Smad4	Cdkn1a	True	True	False	True	True	False	A
P19785	P01027	Esr1	C3	True	True	False	True	True	False	A
P08046	P06804	Egr1	Tnf	True	True	False	True	True	False	A
P42230	P53347	Stat5a	Osm	True	True	False	True	True	False	A
A0A979HLR9	P11276	A0A979HLR9	Fn1	True	True	False	True	True	False	A
P08046	P53690	Egr1	Mmp14	True	True	False	True	True	False	A
P42230	Q64373	Stat5a	Bcl2l1	True	True	False	True	True	False	A
A0A979HLR9	P41160	A0A979HLR9	Lep	True	True	False	True	True	False	A
A0A087WSP5	Q05769	A0A087WSP5	Ptgs2	True	True	False	True	True	False	A
P28033	P08505	Cebpb	Il6	True	True	True	True	False	True	A
Q02650	P11911	Pax5	Cd79a	True	True	False	True	True	False	A
P27577	A0A0A6YX03	Ets1	A0A0A6YX03	True	True	True	True	True	False	A
A0A0R4J1Z4	A0A494B9M4	A0A0R4J1Z4	A0A494B9M4	True	False	True	True	False	True	A
P27577	Q8R4G6	Ets1	Mgat5	True	True	False	True	True	False	A
A0A087WSP5	P07901	A0A087WSP5	Hsp90aa1	True	False	True	True	False	True	A
P38532	P07901	Hsf1	Hsp90aa1	True	True	False	True	True	False	C
P38532	Q3U2G2	Hsf1	Q3U2G2	True	True	False	True	True	False	A
P28033	Q61646	Cebpb	Hp	True	True	False	True	True	False	A
Q61221	Q62351	Hif1a	Tfrc	True	True	False	True	True	False	A
P01108	Q3U2G2	Myc	Q3U2G2	True	True	False	True	True	False	A
A0A979HLR9	P49769	A0A979HLR9	Psen1	True	True	False	True	True	False	A
P33242	Q61066	Nr5a1	Nr0b1	True	True	False	True	True	False	A
Q61066	P33242	Nr0b1	Nr5a1	True	False	True	False	False	False	A
A0A979HLR9	P51881	A0A979HLR9	Slc25a5	True	True	False	True	True	False	A
P19785	Q61501	Esr1	E2f1	True	True	False	True	True	False	A
A0A979HLR9	Q61501	A0A979HLR9	E2f1	True	True	False	True	True	False	A
A0A979HLR9	P17433	A0A979HLR9	Spi1	True	True	False	True	True	False	A
P17433	P10749	Spi1	Il1b	True	True	False	True	True	False	A
Q02650	P16277	Pax5	Blk	True	True	True	True	True	False	A
Q3U1N2	P35951	Srebf2	Ldlr	True	True	False	True	True	False	A
Q00175	P47876	Pgr	Igfbp1	True	True	False	True	True	False	A
P33242	Q9QZ82	Nr5a1	Cyp11a1	True	True	False	True	True	False	A
P25799	P25322	Nfkb1	Ccnd1	True	True	True	True	True	False	A
Q04207	P25322	Rela	Ccnd1	True	True	True	True	True	False	A
P28033	P10749	Cebpb	Il1b	True	True	False	True	True	False	A
Q04207	P06869	Rela	Plau	True	True	False	True	True	False	A
A0A6I8MWY6	A8DUK4	A0A6I8MWY6	A8DUK4	True	True	False	True	True	False	B
A4QPD3	Q62401	A4QPD3	Ccl12	True	True	False	True	True	False	A
Q04207	Q62401	Rela	Ccl12	True	True	False	True	True	False	A
P02340	A0A087WQP2	Tp53	A0A087WQP2	True	True	False	True	True	False	A
Q9JJP2	A0A087WQP2	Tp73	A0A087WQP2	True	True	False	True	True	False	C
F6Y2T6	P03966	F6Y2T6	Mycn	True	False	True	True	False	True	A
Q01147	P05627	Creb1	Jun	True	False	True	True	False	True	A
A0A979HLR9	P52927	A0A979HLR9	Hmga2	True	True	False	True	True	False	A
O70494	P52927	Sp3	Hmga2	True	True	False	True	True	False	A
Q8BRF1	Q08874	Q8BRF1	Mitf	True	True	True	True	True	False	A
Q04207	P06804	Rela	Tnf	True	True	False	True	True	False	A
P25799	P06804	Nfkb1	Tnf	True	True	False	True	True	False	A
P70255	P00184	Nfic	Cyp1a1	True	False	True	True	False	True	A
Q61501	P13405	E2f1	Rb1	True	True	False	True	True	False	A
A0A979HLR9	P30730	A0A979HLR9	Lhcgr	True	True	False	True	True	False	A
O08580	P28649	Esrra	Cyp19a1	True	True	False	True	True	False	A
Q61069	D3Z2C4	Usf1	D3Z2C4	True	True	False	True	True	False	A
A0A979HLR9	P25322	A0A979HLR9	Ccnd1	True	True	False	True	True	False	A
P19785	Q61312	Esr1	Tfap2c	True	True	False	False	False	False	A
Q61312	P19785	Tfap2c	Esr1	True	True	False	True	True	False	A
P19785	P25322	Esr1	Ccnd1	True	True	False	True	True	False	A
Q00288	O08710	Pax8	Tg	True	True	True	True	True	False	A
F6Y2T6	E9QNX9	F6Y2T6	E9QNX9	True	False	True	True	False	True	A
A0A979HLR9	P43406	A0A979HLR9	Itgav	True	True	True	True	True	False	A
O70494	P43406	Sp3	Itgav	True	True	False	True	True	False	A
Q61501	Q61457	E2f1	Ccne1	True	True	False	True	True	False	A
Q61501	P25322	E2f1	Ccnd1	True	True	False	True	True	False	A
